c:\Users\ianco\btsp-rl-main\agents.py:80: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\bld\libtorch_1746251577579\work\torch\csrc\utils\tensor_new.cpp:257.)
  s = torch.tensor(batch.state, dtype=torch.float32, device=self.device)
Episode 50/5000 | avgR₅₀: 0.20 | ε: 0.78
Episode 100/5000 | avgR₅₀: 0.56 | ε: 0.61
Episode 150/5000 | avgR₅₀: 0.80 | ε: 0.47
Episode 200/5000 | avgR₅₀: 0.84 | ε: 0.37
Episode 250/5000 | avgR₅₀: 0.80 | ε: 0.29
Episode 300/5000 | avgR₅₀: 0.76 | ε: 0.22
Episode 350/5000 | avgR₅₀: 0.74 | ε: 0.17
Episode 400/5000 | avgR₅₀: 0.80 | ε: 0.13
Episode 450/5000 | avgR₅₀: 0.90 | ε: 0.10
Episode 500/5000 | avgR₅₀: 0.94 | ε: 0.08
Episode 550/5000 | avgR₅₀: 0.90 | ε: 0.06
Episode 600/5000 | avgR₅₀: 0.92 | ε: 0.05
Episode 650/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 700/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 750/5000 | avgR₅₀: 0.96 | ε: 0.05
Episode 800/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 850/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 900/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 950/5000 | avgR₅₀: 0.94 | ε: 0.05
m[2K[1mwandb[0m: [38;5;178m⢿[0m Encoding video...
[eval] episode 1000: reward = 0.00
Episode 1000/5000 | avgR₅₀: 0.90 | ε: 0.05
Episode 1050/5000 | avgR₅₀: 0.92 | ε: 0.05
Episode 1100/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1150/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1200/5000 | avgR₅₀: 0.94 | ε: 0.05
Episode 1250/5000 | avgR₅₀: 0.96 | ε: 0.05
Episode 1300/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1350/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1400/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1450/5000 | avgR₅₀: 0.94 | ε: 0.05
Episode 1500/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1550/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1600/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 1650/5000 | avgR₅₀: 0.96 | ε: 0.05
Episode 1700/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1750/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1800/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1850/5000 | avgR₅₀: 0.94 | ε: 0.05
Episode 1900/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 1950/5000 | avgR₅₀: 1.00 | ε: 0.05
[eval] episode 2000: reward = 0.00
Episode 2000/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 2050/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 2100/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2150/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2200/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2250/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2300/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2350/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 2400/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2450/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2500/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2550/5000 | avgR₅₀: 0.96 | ε: 0.05
Episode 2600/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2650/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2700/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2750/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2800/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2850/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2900/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 2950/5000 | avgR₅₀: 1.00 | ε: 0.05
[eval] episode 3000: reward = 1.00
Episode 3000/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3050/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3100/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3150/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3200/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3250/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3300/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3350/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3400/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3450/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3500/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3550/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3600/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3650/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3700/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3750/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3800/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3850/5000 | avgR₅₀: 0.96 | ε: 0.05
Episode 3900/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 3950/5000 | avgR₅₀: 1.00 | ε: 0.05
[eval] episode 4000: reward = 1.00
Episode 4000/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4050/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4100/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4150/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4200/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4250/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 4300/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4350/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4400/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4450/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4500/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4550/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4600/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4650/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4700/5000 | avgR₅₀: 0.98 | ε: 0.05
Episode 4750/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4800/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4850/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4900/5000 | avgR₅₀: 1.00 | ε: 0.05
Episode 4950/5000 | avgR₅₀: 1.00 | ε: 0.05
[eval] episode 5000: reward = 1.00
Episode 5000/5000 | avgR₅₀: 1.00 | ε: 0.05
